name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
South Africa,ZAF,ZAR,16.95,7.56325,,6/1/08
South Korea,KOR,KRW,3200,1018.05,,6/1/08
Sri Lanka,LKA,LKR,210,107.55,,6/1/08
Sweden,SWE,SEK,38,5.96085,,6/1/08
Switzerland,CHE,CHF,6.5,1.02215,,6/1/08
Taiwan,TWN,TWD,75,30.3625,,6/1/08
Thailand,THA,THB,62,33.36,,6/1/08
Turkey,TUR,TRY,5.15,1.19275,,6/1/08
UAE,ARE,AED,10,3.67285,,6/1/08
Ukraine,UKR,UAH,11,4.6,,6/1/08
United States,USA,USD,3.57,1,,6/1/08
Uruguay,URY,UYU,61,19.15,,6/1/08
Argentina,ARG,ARS,11.5,3.81125,,7/1/09
Australia,AUS,AUD,4.34,1.2869,,7/1/09
Brazil,BRA,BRL,8.03,1.9971,,7/1/09
Britain,GBR,GBP,2.29,0.620886626,,7/1/09
Canada,CAN,CAD,3.89,1.16085,,7/1/09
Chile,CHL,CLP,1750,548.55,,7/1/09
China,CHN,CNY,12.5,6.8327,,7/1/09
Colombia,COL,COP,7000,2095.6,,7/1/09
Costa Rica,CRI,CRC,2000,582.57,,7/1/09
Czech Republic,CZE,CZK,67.92,18.66155,,7/1/09
Denmark,DNK,DKK,29.5,5.3375,,7/1/09
Egypt,EGY,EGP,13,5.58475,,7/1/09
Euro area,EUZ,EUR,3.31,0.716897269,,7/1/09
Hong Kong,HKG,HKD,13.3,7.7505,,7/1/09
Hungary,HUN,HUF,720,199.1577,,7/1/09
Indonesia,IDN,IDR,20900,10200,,7/1/09
Israel,ISR,ILS,15,3.97425,,7/1/09
Japan,JPN,JPY,320,92.565,,7/1/09
Malaysia,MYS,MYR,6.77,3.602,,7/1/09
Mexico,MEX,MXN,33,13.8104,,7/1/09
New Zealand,NZL,NZD,4.9,1.59235,,7/1/09
Norway,NOR,NOK,40,6.50925,,7/1/09
Pakistan,PAK,PKR,190,82.6,,7/1/09
Peru,PER,PEN,8.056,3.0274,,7/1/09
Philippines,PHL,PHP,99.39,48.385,,7/1/09
Poland,POL,PLN,7.6,3.15525,,7/1/09
Russia,RUS,RUB,67,32.7959,,7/1/09
Saudi Arabia,SAU,SAR,11,3.7504,,7/1/09
Singapore,SGP,SGD,4.22,1.4645,,7/1/09
South Africa,ZAF,ZAR,17.95,8.2805,,7/1/09
South Korea,KOR,KRW,3400,1314.5,,7/1/09
Sri Lanka,LKA,LKR,210,114.86,,7/1/09
Sweden,SWE,SEK,39,7.90915,,7/1/09
Switzerland,CHE,CHF,6.5,1.08605,,7/1/09
Taiwan,TWN,TWD,75,33.1755,,7/1/09
Thailand,THA,THB,64.49,34.165,,7/1/09
Turkey,TUR,TRY,5.65,1.55005,,7/1/09
UAE,ARE,AED,10,3.673,,7/1/09
Ukraine,UKR,UAH,14,7.66,,7/1/09
United States,USA,USD,3.57,1,,7/1/09
Uruguay,URY,UYU,61,23.17,,7/1/09
Argentina,ARG,ARS,7,3.7985,,1/1/10
Australia,AUS,AUD,4.35,1.09355,,1/1/10
Brazil,BRA,BRL,8.2,1.7233,,1/1/10
Britain,GBR,GBP,2.29,0.623752495,,1/1/10
Canada,CAN,CAD,4.12,1.0368,,1/1/10
Chile,CHL,CLP,1600,503.1,,1/1/10
China,CHN,CNY,12.5,6.8272,,1/1/10
Colombia,COL,COP,8200,2095.6,,1/1/10
Costa Rica,CRI,CRC,2050,582.57,,1/1/10
Czech Republic,CZE,CZK,67.64,18.21005,,1/1/10
Denmark,DNK,DKK,30.94,5.16195,,1/1/10
Egypt,EGY,EGP,13,5.465,,1/1/10
Euro area,EUZ,EUR,3.36,0.693649638,,1/1/10
